City,Community,Pincode,Active Registrations,Lat,Lon,,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025
Chennai,C0094,600095,4,13.0443866,80.1563964,,11.8,7,5,13.1,5.8,4.7,9.4,7.3,6.6,6.8,8.2,4.8,4.9,10.5,2.9,6.6,5.8,3.6,56,58,53,58,51,53,55,53,51,55,54,54,56,52,55,53,55,54
Delhi,C0095,122002,214,28.4027727,77.0888092,,1158.1,1480.9,1120.1,962.6,1381.9,980.5,1426.9,1208.6,1238.4,1298.7,999.8,953.7,1181.3,1117,1067.5,1229.7,1242.9,1387.3,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Delhi,C0096,201304,158,28.5181978,77.3830433,,743.7,776.3,592.7,496.7,798.3,676.1,701.4,924.6,700.2,840.4,642.9,742.7,671.1,937.1,634,676.5,806.5,699.8,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,22,20,23
Delhi,C0097,122017,89,28.5130406,77.0038837,,1.8,6.3,7.2,21.3,28.7,46.5,320.9,511.9,661.3,407.2,661.5,452.1,442.6,503.9,607.4,484.5,569.8,692.4,25,29,50,58,55,52,50,50,56,54,54,52,58,51,41,42,40,46
Delhi,C0098,122017,203,28.509434,77.005841,,241.3758929,252.6042614,15.4,25,28.2,62.8,224.9,426.8,769.7,562.5,628.6,543.3,539,530.7,714.7,567.2,739.8,580.1,0,0,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Delhi,C0099,201304,151,28.5157994,77.38642,,493,489.9,619.9,471.1,594.4,666.2,551.1,722,626.7,552.9,591.1,493.4,529,456.7,612.4,506.9,691.8,569.9,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,57,59,60
Delhi,C0100,122002,83,28.4408776,77.1006731,,334,373.8,245.2,241.8,442.7,351.1,484.6,480.2,476.9,589.3,468.9,481.2,548.6,615.7,505.8,467.2,722.2,524.1,25,29,50,58,55,52,50,50,56,54,54,52,58,51,41,39,41,46
Delhi,C0101,122001,121,28.4316052,77.0356399,,548.6,402.4,428.1,476.4,423.6,596.4,425.6,608,580.1,414.3,524.9,522.3,605.4,437.7,596.2,418.4,516.5,504.6,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,23,21,28
Delhi,C0102,122018,100,28.4141482,77.0470916,,703,453.3,534.7,495.9,448.7,576.2,471.7,489.3,628.5,370.2,362.2,402,559.9,375.5,543.6,430.8,434.9,488.3,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,17,19,22
Delhi,C0103,201301,112,28.5827178,77.3482352,,264,263.6,416.6,244,257.1,250.2,328.3,506.4,343.9,390.6,370.5,239.2,319.7,260.4,432.9,265.3,305.3,349.5,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,20,22,27
Delhi,C0104,121009,104,28.49473,77.290657,,240.4,173,246.8,245.4,179.6,266.1,259.9,276.6,346.8,215.6,209.1,320.4,383,317.2,333.7,240.5,267.1,331.7,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,21,20,23
Delhi,C0105,110065,61,28.5612143,77.2525894,,263.8,185.1,295.9,204.6,221.2,269.2,239.4,426.8,286.5,285.6,390.3,241.4,319.5,451.9,279.3,294.8,437,322.1,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,61,59,61
Delhi,C0106,122018,66,28.3500883,77.0655406,,177.2,147.8,203.9,112.8,194.6,175.1,156.5,197.1,174.5,216.8,176.5,193.5,158.5,250,174.6,137.4,272.4,271.1,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,41,39,44
Delhi,C0107,201304,64,28.5455068,77.3758673,,257.2,261.8,231.6,172.5,273.9,147.2,396.4,302.4,234.7,264.1,208.4,205.1,417.7,258.3,253.8,358.1,248.4,267.8,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,57,59,60
Delhi,C0108,122017,28,28.514187,77.0044725,,122.7,85.1,134.6,135.9,95.9,135.2,136.4,159.2,193,108,162.4,136.4,160.9,147.5,207,148.9,187.6,236.2,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,19,21,23
